timestamp,open,high,low,close,volume,source,symbol,interval
1748152800000,2512.52000000,2513.32000000,2502.08000000,2507.42000000,6482.77950000,binance_spot,ETHUSDT,1h
1748156400000,2507.42000000,2507.42000000,2487.22000000,2494.39000000,16937.31940000,binance_spot,ETHUSDT,1h
1748160000000,2494.40000000,2494.50000000,2463.00000000,2477.81000000,28259.58950000,binance_spot,ETHUSDT,1h
1748163600000,2477.81000000,2495.71000000,2471.03000000,2495.50000000,21163.08220000,binance_spot,ETHUSDT,1h
1748167200000,2495.50000000,2502.19000000,2488.49000000,2492.31000000,14258.28800000,binance_spot,ETHUSDT,1h
1748170800000,2492.30000000,2500.00000000,2488.71000000,2497.91000000,9851.73940000,binance_spot,ETHUSDT,1h
1748174400000,2497.91000000,2518.10000000,2495.17000000,2517.09000000,15283.59210000,binance_spot,ETHUSDT,1h
1748178000000,2517.09000000,2524.90000000,2511.23000000,2513.61000000,10818.31000000,binance_spot,ETHUSDT,1h
1748181600000,2513.61000000,2518.00000000,2497.82000000,2505.99000000,11745.33730000,binance_spot,ETHUSDT,1h
1748185200000,2506.00000000,2515.75000000,2479.24000000,2511.70000000,24986.11110000,binance_spot,ETHUSDT,1h
1748188800000,2511.69000000,2513.50000000,2496.10000000,2511.57000000,11433.38040000,binance_spot,ETHUSDT,1h
1748192400000,2511.57000000,2516.98000000,2509.00000000,2513.95000000,7073.79590000,binance_spot,ETHUSDT,1h
1748196000000,2513.82000000,2523.37000000,2511.30000000,2516.60000000,7515.00480000,binance_spot,ETHUSDT,1h
1748199600000,2516.59000000,2535.66000000,2515.00000000,2526.60000000,9811.67830000,binance_spot,ETHUSDT,1h
1748203200000,2526.60000000,2529.00000000,2511.15000000,2523.88000000,6116.19850000,binance_spot,ETHUSDT,1h
1748206800000,2523.88000000,2531.40000000,2507.65000000,2515.19000000,6694.88440000,binance_spot,ETHUSDT,1h
1748210400000,2515.20000000,2554.26000000,2512.52000000,2549.16000000,26428.08510000,binance_spot,ETHUSDT,1h
1748214000000,2549.16000000,2554.02000000,2535.00000000,2551.22000000,19251.54750000,binance_spot,ETHUSDT,1h
1748217600000,2551.22000000,2574.60000000,2536.84000000,2571.70000000,31157.50470000,binance_spot,ETHUSDT,1h
1748221200000,2571.71000000,2577.00000000,2555.00000000,2558.51000000,25565.66240000,binance_spot,ETHUSDT,1h
1748224800000,2558.50000000,2563.86000000,2547.21000000,2552.71000000,12994.84920000,binance_spot,ETHUSDT,1h
1748228400000,2552.72000000,2567.01000000,2548.49000000,2560.30000000,9317.38490000,binance_spot,ETHUSDT,1h
1748232000000,2560.29000000,2570.15000000,2557.30000000,2564.20000000,11337.36610000,binance_spot,ETHUSDT,1h
1748235600000,2564.19000000,2575.31000000,2561.49000000,2568.40000000,10745.67910000,binance_spot,ETHUSDT,1h
1748239200000,2568.40000000,2585.90000000,2565.20000000,2582.81000000,13964.82270000,binance_spot,ETHUSDT,1h
1748242800000,2582.80000000,2599.00000000,2577.30000000,2580.80000000,26000.91020000,binance_spot,ETHUSDT,1h
1748246400000,2580.79000000,2582.70000000,2564.57000000,2568.00000000,15333.41150000,binance_spot,ETHUSDT,1h
1748250000000,2567.99000000,2574.48000000,2553.24000000,2563.11000000,14482.26660000,binance_spot,ETHUSDT,1h
1748253600000,2563.11000000,2569.20000000,2554.57000000,2559.34000000,10625.00320000,binance_spot,ETHUSDT,1h
1748257200000,2559.35000000,2568.31000000,2555.70000000,2568.08000000,9765.07750000,binance_spot,ETHUSDT,1h
1748260800000,2568.08000000,2574.43000000,2561.10000000,2568.60000000,11518.07560000,binance_spot,ETHUSDT,1h
1748264400000,2568.59000000,2571.80000000,2539.23000000,2551.27000000,28163.19370000,binance_spot,ETHUSDT,1h
1748268000000,2551.28000000,2556.52000000,2542.10000000,2550.51000000,15850.84790000,binance_spot,ETHUSDT,1h
1748271600000,2550.51000000,2570.94000000,2545.13000000,2565.99000000,19450.91680000,binance_spot,ETHUSDT,1h
1748275200000,2566.00000000,2573.30000000,2535.47000000,2542.71000000,23176.24130000,binance_spot,ETHUSDT,1h
1748278800000,2542.71000000,2549.20000000,2525.86000000,2533.69000000,16099.35330000,binance_spot,ETHUSDT,1h
1748282400000,2533.70000000,2546.32000000,2528.00000000,2534.89000000,8853.35200000,binance_spot,ETHUSDT,1h
1748286000000,2534.89000000,2544.40000000,2532.42000000,2541.22000000,5951.36530000,binance_spot,ETHUSDT,1h
1748289600000,2541.21000000,2567.95000000,2536.57000000,2566.52000000,12738.21130000,binance_spot,ETHUSDT,1h
1748293200000,2566.52000000,2568.20000000,2554.66000000,2562.57000000,9161.14530000,binance_spot,ETHUSDT,1h
1748296800000,2562.58000000,2584.65000000,2557.28000000,2559.54000000,13726.49310000,binance_spot,ETHUSDT,1h
1748300400000,2559.55000000,2564.58000000,2553.40000000,2563.70000000,6991.98450000,binance_spot,ETHUSDT,1h
1748304000000,2563.70000000,2573.50000000,2549.04000000,2550.86000000,13304.09040000,binance_spot,ETHUSDT,1h
1748307600000,2550.85000000,2550.86000000,2509.46000000,2529.60000000,29428.78420000,binance_spot,ETHUSDT,1h
1748311200000,2529.60000000,2544.49000000,2528.10000000,2535.61000000,12786.53780000,binance_spot,ETHUSDT,1h
1748314800000,2535.60000000,2565.26000000,2535.60000000,2549.25000000,14193.62400000,binance_spot,ETHUSDT,1h
1748318400000,2549.26000000,2569.00000000,2548.99000000,2559.00000000,10518.71140000,binance_spot,ETHUSDT,1h
1748322000000,2559.00000000,2573.04000000,2550.34000000,2569.51000000,10611.26520000,binance_spot,ETHUSDT,1h
1748325600000,2569.51000000,2610.92000000,2564.63000000,2569.59000000,144557.14250000,binance_spot,ETHUSDT,1h
1748329200000,2569.60000000,2619.48000000,2569.60000000,2607.59000000,31994.33510000,binance_spot,ETHUSDT,1h
1748332800000,2607.60000000,2643.19000000,2607.59000000,2635.20000000,63706.62590000,binance_spot,ETHUSDT,1h
1748336400000,2635.19000000,2647.68000000,2622.20000000,2638.19000000,30923.20020000,binance_spot,ETHUSDT,1h
1748340000000,2638.19000000,2642.28000000,2631.00000000,2638.42000000,21098.80310000,binance_spot,ETHUSDT,1h
1748343600000,2638.42000000,2655.00000000,2626.99000000,2652.64000000,26615.17770000,binance_spot,ETHUSDT,1h
1748347200000,2652.64000000,2654.50000000,2634.80000000,2648.33000000,29491.02090000,binance_spot,ETHUSDT,1h
1748350800000,2648.34000000,2683.87000000,2642.75000000,2655.58000000,80609.79570000,binance_spot,ETHUSDT,1h
1748354400000,2655.58000000,2671.56000000,2633.36000000,2661.10000000,46978.19190000,binance_spot,ETHUSDT,1h
1748358000000,2661.11000000,2670.50000000,2653.50000000,2668.20000000,30242.81430000,binance_spot,ETHUSDT,1h
1748361600000,2668.20000000,2683.89000000,2658.36000000,2670.36000000,29930.37730000,binance_spot,ETHUSDT,1h
1748365200000,2670.37000000,2712.36000000,2670.11000000,2695.74000000,57059.10460000,binance_spot,ETHUSDT,1h
1748368800000,2695.75000000,2708.55000000,2675.29000000,2680.00000000,28528.43050000,binance_spot,ETHUSDT,1h
1748372400000,2680.00000000,2688.43000000,2671.16000000,2687.53000000,19322.82180000,binance_spot,ETHUSDT,1h
1748376000000,2687.53000000,2694.12000000,2664.22000000,2668.20000000,16991.98790000,binance_spot,ETHUSDT,1h
1748379600000,2668.21000000,2677.50000000,2657.70000000,2662.89000000,17015.34730000,binance_spot,ETHUSDT,1h
1748383200000,2662.90000000,2669.50000000,2652.98000000,2659.82000000,20571.75500000,binance_spot,ETHUSDT,1h
1748386800000,2659.81000000,2664.70000000,2652.26000000,2660.81000000,11950.94150000,binance_spot,ETHUSDT,1h
1748390400000,2660.81000000,2661.79000000,2640.82000000,2658.28000000,19816.73660000,binance_spot,ETHUSDT,1h
1748394000000,2658.28000000,2659.39000000,2631.02000000,2634.47000000,19951.24710000,binance_spot,ETHUSDT,1h
1748397600000,2634.47000000,2642.19000000,2618.34000000,2638.45000000,34650.97710000,binance_spot,ETHUSDT,1h
1748401200000,2638.45000000,2650.00000000,2633.40000000,2645.37000000,15698.50790000,binance_spot,ETHUSDT,1h
1748404800000,2645.38000000,2652.57000000,2634.02000000,2646.41000000,14271.63990000,binance_spot,ETHUSDT,1h
1748408400000,2646.42000000,2647.00000000,2634.95000000,2639.85000000,15369.64160000,binance_spot,ETHUSDT,1h
1748412000000,2639.86000000,2639.86000000,2623.85000000,2627.70000000,13906.12840000,binance_spot,ETHUSDT,1h
1748415600000,2627.69000000,2643.00000000,2625.00000000,2636.39000000,9894.79060000,binance_spot,ETHUSDT,1h
1748419200000,2636.39000000,2645.76000000,2628.83000000,2642.90000000,14159.45460000,binance_spot,ETHUSDT,1h
1748422800000,2642.89000000,2643.60000000,2622.20000000,2626.72000000,23859.14850000,binance_spot,ETHUSDT,1h
